ip,org,country,loc
23.251.234.52,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
194.73.73.176,AS2856 British Telecommunications PLC,GB,"53.3830,-1.4659"
185.41.28.106,AS200484 Sendinblue SAS,FR,"48.8534,2.3488"
54.240.11.149,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
212.174.34.210,AS9121 Turk Telekomunikasyon Anonim Sirketi,TR,"41.0138,28.9497"
51.110.169.187,"AS16509 Amazon.com, Inc.",DE,"48.1827,11.5759"
54.240.11.161,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
211.101.236.162,AS58519 Cloud Computing Corporation,CN,"39.9075,116.3972"
168.245.65.79,"AS11377 SendGrid, Inc.",US,"39.1157,-77.5636"
203.198.131.193,AS4760 HKT Limited,HK,"22.2783,114.1747"
023.09.29.00,,,
147.46.15.168,AS9488 Seoul National University,KR,"37.5660,126.9784"
200.207.121.190,AS27699 TELEFÔNICA BRASIL S.A,BR,"-23.4253,-51.9386"
54.240.94.6,"AS16509 Amazon.com, Inc.",US,"40.0334,-83.1582"
67.209.208.15,AS21782 Plateau Telecommunications Incorporated,US,"34.4048,-103.2052"
64.39.19.116,AS33070 Rackspace Hosting,US,"32.7831,-96.8067"
135.12.72.250,,CA,"43.7064,-79.3986"
64.25.35.100,,KR,"37.5660,126.9784"
025.05.21.04,,,
54.240.78.7,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
209.69.222.248,"AS2914 NTT America, Inc.",US,"42.3615,-83.3649"
023.09.27.23,,,
025.02.19.22,,,
61.206.16.192,AS17676 SoftBank Corp.,JP,"34.3333,134.0500"
025.05.21.14,,,
209.163.100.4,AS14135 Navisite Opco LLC,US,"42.3584,-71.0598"
025.03.28.10,,,
025.04.24.06,,,
210.15.247.147,AS4739 Internode Pty Ltd,AU,"-37.8140,144.9633"
206.104.54.4,AS174 Cogent Communications,US,"40.7143,-74.0060"
023.04.28.07,,,
212.217.26.66,AS6713 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,MA,"33.5883,-7.6114"
12.233.198.104,"AS7018 AT&T Enterprises, LLC",US,"37.7799,-121.9780"
167.89.18.138,"AS11377 SendGrid, Inc.",US,"41.8500,-87.6500"
149.89.93.47,AS12271 Charter Communications Inc,US,"40.7143,-74.0060"
65.114.193.250,"AS209 CenturyLink Communications, LLC",US,"39.7392,-104.9847"
8.219.24.132,"AS45102 Alibaba (US) Technology Co., Ltd.",SG,"1.2897,103.8501"
